"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",0.010853380,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","DK","Denmark",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",0.008773510,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",0.009044620,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",0.027133000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",0.026605000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.026808000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.026328000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","FR","France",0.015947300,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.048437870,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","IS","Iceland",0.000000000,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","IT","Italy",0.028762050,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",-,""
"Botulism","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
