"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",-,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",0.024934230,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",0.890639390,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",0.437652710,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",0.145341000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",0.129542000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.143610000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.128194000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.038441470,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","FR","France",0.022374430,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.009900080,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.178420520,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","IS","Iceland",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","IT","Italy",0.304368310,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","LI","Liechtenstein",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","NL","Netherlands",0.013972420,""
"Brucellosis","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",0.000000000,""
