"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","CZ","Czechia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","EUEEA30_21","EU/EEA (without UK)",76.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","EUEEAUK_21","EU/EEA (with UK until 2019)",103.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","FI","Finland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","HU","Hungary",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","IE","Ireland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","LV","Latvia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","NL","Netherlands",76.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","NO","Norway",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","SE","Sweden",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2004","UK","United Kingdom",27.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","CZ","Czechia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","EUEEA30_21","EU/EEA (without UK)",39.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","EUEEAUK_21","EU/EEA (with UK until 2019)",300.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","FI","Finland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","HU","Hungary",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","IE","Ireland",1.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","LV","Latvia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","NL","Netherlands",38.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","NO","Norway",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","SE","Sweden",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2005","UK","United Kingdom",261.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","CZ","Czechia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","DK","Denmark",2.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","EUEEA30_21","EU/EEA (without UK)",45.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",182.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","FI","Finland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","HU","Hungary",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","IE","Ireland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","LV","Latvia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","NL","Netherlands",43.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","NO","Norway",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","SE","Sweden",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","SI","Slovenia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2006","UK","United Kingdom",137.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","CZ","Czechia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","DK","Denmark",16.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","EUEEA30_21","EU/EEA (without UK)",88.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",260.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","FI","Finland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","HU","Hungary",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","IE","Ireland",2.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","LV","Latvia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","NL","Netherlands",70.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","NO","Norway",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","SE","Sweden",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","SI","Slovenia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2007","UK","United Kingdom",172.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","BE","Belgium",12.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","CZ","Czechia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","DK","Denmark",29.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","EE","Estonia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","EUEEA30_21","EU/EEA (without UK)",145.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",332.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","FI","Finland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","HU","Hungary",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","IE","Ireland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","IT","Italy",4.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","LV","Latvia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","MT","Malta",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","NL","Netherlands",100.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","NO","Norway",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","SE","Sweden",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","SI","Slovenia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2008","UK","United Kingdom",187.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","BE","Belgium",17.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","CY","Cyprus",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","CZ","Czechia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","DK","Denmark",21.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","EE","Estonia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","EUEEA30_21","EU/EEA (without UK)",132.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",287.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","FI","Finland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","HU","Hungary",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","IE","Ireland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","IT","Italy",8.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","LU","Luxembourg",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","LV","Latvia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","MT","Malta",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","NL","Netherlands",86.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","NO","Norway",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","PL","Poland",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","SE","Sweden",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","SI","Slovenia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2009","UK","United Kingdom",155.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2010","BE","Belgium",22.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2010","CY","Cyprus",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2010","CZ","Czechia",1.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2010","DK","Denmark",20.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2010","EE","Estonia",0.000000000,""
"Chlamydia infection, lymphogranuloma venereum","Confirmed cases","Reported cases","N","2010","EUEEA30_21","EU/EEA (without UK)",288.000000000,""
