"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1990","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1990","EUEEAUK_21","EU/EEA (with UK until 2019)",51.257557000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1990","UK","United Kingdom",51.257557550,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1991","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1991","EUEEAUK_21","EU/EEA (with UK until 2019)",53.813630000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1991","UK","United Kingdom",53.813630610,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1992","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1992","EUEEA30_21","EU/EEA (without UK)",194.914152000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1992","EUEEAUK_21","EU/EEA (with UK until 2019)",69.802148000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1992","SE","Sweden",194.914152600,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1992","UK","United Kingdom",50.997536540,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1993","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1993","EUEEA30_21","EU/EEA (without UK)",119.404907000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1993","EUEEAUK_21","EU/EEA (with UK until 2019)",62.882395000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1993","IE","Ireland",0.020718900,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1993","LV","Latvia",102.171585450,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1993","SE","Sweden",173.556432340,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1993","UK","United Kingdom",48.325511410,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1994","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1994","EUEEA30_21","EU/EEA (without UK)",158.750104000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1994","EUEEAUK_21","EU/EEA (with UK until 2019)",68.851299000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1994","LV","Latvia",156.197374440,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1994","SE","Sweden",159.491803600,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1994","UK","United Kingdom",51.294042710,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","DK","Denmark",236.176575210,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","EUEEA30_21","EU/EEA (without UK)",154.670757000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","EUEEAUK_21","EU/EEA (with UK until 2019)",78.441268000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","IE","Ireland",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","LV","Latvia",182.597290240,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","SE","Sweden",161.626354360,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1995","UK","United Kingdom",51.958178780,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1996","DK","Denmark",243.915697750,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1996","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1996","EUEEA30_21","EU/EEA (without UK)",186.402776000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1996","EUEEAUK_21","EU/EEA (with UK until 2019)",88.572391000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1996","LV","Latvia",141.578407410,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1996","SE","Sweden",164.755611910,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1996","UK","United Kingdom",60.688884550,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","DK","Denmark",251.987505140,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","EUEEA30_21","EU/EEA (without UK)",184.506701000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","EUEEAUK_21","EU/EEA (with UK until 2019)",97.944419000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","IS","Iceland",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","LV","Latvia",72.807383870,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","SE","Sweden",167.745161660,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1997","UK","United Kingdom",72.923096660,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","DK","Denmark",242.044501170,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","EE","Estonia",279.269292150,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","EUEEA30_21","EU/EEA (without UK)",196.610946000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","EUEEAUK_21","EU/EEA (with UK until 2019)",110.657980000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","IS","Iceland",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","LV","Latvia",56.112079730,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","SE","Sweden",188.208400330,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1998","UK","United Kingdom",83.826502700,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","DK","Denmark",268.745309240,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","EE","Estonia",250.313158560,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","EUEEA30_21","EU/EEA (without UK)",208.051951000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","EUEEAUK_21","EU/EEA (with UK until 2019)",123.724337000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","IS","Iceland",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","LV","Latvia",29.603168470,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","SE","Sweden",205.277132870,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","1999","UK","United Kingdom",97.492959500,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","DK","Denmark",292.187052020,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","EE","Estonia",264.630192090,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","ES","Spain",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","EUEEA30_21","EU/EEA (without UK)",199.607854000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","EUEEAUK_21","EU/EEA (with UK until 2019)",143.039460000,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","FI","Finland",230.230891830,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","HU","Hungary",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","IE","Ireland",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","IS","Iceland",-,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","LV","Latvia",26.240898400,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","SE","Sweden",238.093283940,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2000","UK","United Kingdom",116.862961040,""
"Chlamydia infection","Confirmed cases","Age standardised rate","N/100000","2001","DK","Denmark",305.390004820,""
