"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",0.002580370,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","DK","Denmark",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",0.004306110,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",0.002869000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",0.003330000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.003079000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.003509000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","FR","France",0.006452980,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","IS","Iceland",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","IT","Italy",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","NL","Netherlands",0.018260440,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",0.022208600,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","PL","Poland",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","PT","Portugal",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","RO","Romania",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","SI","Slovenia",0.048317220,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","SK","Slovakia",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",0.006519770,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","AT","Austria",0.012492850,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","BE","Belgium",-,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","BG","Bulgaria",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","CZ","Czechia",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","DE","Germany",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","DK","Denmark",0.017115280,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","EE","Estonia",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","EL","Greece",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","ES","Spain",0.000000000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_21","EU (without UK)",0.002101000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.004862000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.002077000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.004812000,""
"Cholera","Confirmed cases","Age-standardised rate","N/100000","2008","FI","Finland",0.000000000,""
