"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","DK","Denmark",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","EE","Estonia",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","ES","Spain",0.002232900,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","EU27_21","EU (without UK)",0.001124000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",0.001220000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.001123000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.001218000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","FR","France",0.001571210,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","HU","Hungary",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","IE","Ireland",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","IS","Iceland",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","IT","Italy",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","LT","Lithuania",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","LV","Latvia",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","MT","Malta",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","NL","Netherlands",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","PL","Poland",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","PT","Portugal",0.009494340,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2007","UK","United Kingdom",0.001637370,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","BG","Bulgaria",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","DK","Denmark",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","EE","Estonia",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","ES","Spain",0.006569010,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","EU27_21","EU (without UK)",0.002169000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.002054000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.002166000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.002051000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","FR","France",0.001562320,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","HU","Hungary",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","IE","Ireland",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","IS","Iceland",0.000000000,""
"Creutzfeldt-Jakob disease, variant","All cases","Notification rate","N/100000","2008","LT","Lithuania",0.000000000,""
