"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",1.905790130,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",-,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",1.207988000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",2.338074000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",1.207988000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",2.338074000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.229123500,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.059094200,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",11.711561120,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","PL","Poland",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",1.240447740,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","SI","Slovenia",0.057050250,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","SK","Slovakia",0.000000000,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",5.722205100,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2008","BE","Belgium",-,""
"Cryptosporidiosis","Confirmed cases","Age-standardised rate","N/100000","2008","BG","Bulgaria",0.000000000,""
