"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",0.193268960,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.511481580,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.027087620,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",0.105136580,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.147305370,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",0.076094980,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",0.287128280,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.016895480,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","FR","France",0.043052200,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.078089910,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.000000000,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","LI","Liechtenstein",0.000000000,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",0.531710350,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","NL","Netherlands",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",0.044417200,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","PL","Poland",0.103737050,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","PT","Portugal",0.092753320,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","RO","Romania",-,""
"Echinococcosis","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",0.271145380,""
