"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.597344840,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.894005060,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",4.539303860,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",32.813714460,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",4.344465000,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",4.628888000,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",4.416640000,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",4.673425000,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",5.651056950,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.870135130,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",1.288609410,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","IS","Iceland",13.780789710,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",2.511479430,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",6.033157600,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",15.424829600,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","SI","Slovenia",0.856294890,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","SK","Slovakia",2.283798310,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",5.303063580,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","BE","Belgium",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","BG","Bulgaria",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","CY","Cyprus",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","CZ","Czechia",0.786725690,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","DE","Germany",5.934452460,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","EE","Estonia",20.802439160,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","ES","Spain",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_21","EU (without UK)",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","FI","Finland",8.162771770,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","HU","Hungary",1.413782360,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","IE","Ireland",1.540475730,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","IS","Iceland",9.345086040,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","LT","Lithuania",-,""
"Giardiasis","Confirmed cases","Age-standardised rate","N/100000","2008","LU","Luxembourg",0.207429290,""
