"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","AT","Austria",21.153846150,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","BE","Belgium",6.363636360,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","CZ","Czechia",-,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","DK","Denmark",15.126050420,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","EL","Greece",0.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","ES","Spain",0.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","EUEEA30_21","EU/EEA (without UK)",5.617977000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",5.124450000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","FR","France",1.923076920,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","IT","Italy",18.571428570,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","LV","Latvia",0.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","MT","Malta",0.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","NL","Netherlands",0.877192980,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","NO","Norway",0.909090900,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","PT","Portugal",0.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","SE","Sweden",2.777777770,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","SI","Slovenia",8.333333330,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","SK","Slovakia",0.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2009","UK","United Kingdom",0.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","AT","Austria",22.727272720,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","BE","Belgium",3.636363630,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","CY","Cyprus",50.000000000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","CZ","Czechia",-,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","DK","Denmark",20.833333330,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","EL","Greece",13.402061850,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","ES","Spain",15.841584150,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","EUEEA30_21","EU/EEA (without UK)",9.455958000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",8.663646000,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","FR","France",1.801801800,""
"Gonorrhoea","Antimicrobial resistance|Confirmed cases","Cefixime resistant (R) isolates proportion","%","2010","HU","Hungary",0.000000000,""
