"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","AT","Austria",0.011950750,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","BE","Belgium",1.493937150,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","BG","Bulgaria",0.053403270,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","DE","Germany",0.296013110,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","EE","Estonia",0.824383330,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","EL","Greece",0.016760290,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","ES","Spain",0.004408510,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","EU27_21","EU (without UK)",1.746072000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",1.397086000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",1.733702000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",1.392437000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","FI","Finland",61.472289860,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","HU","Hungary",0.029907510,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","IE","Ireland",0.000000000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","LT","Lithuania",0.000000000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","LU","Luxembourg",0.000000000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","LV","Latvia",0.048615160,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","MT","Malta",0.000000000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","NL","Netherlands",0.000000000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","NO","Norway",1.090098300,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","RO","Romania",0.019329420,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","SE","Sweden",6.210463690,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","SI","Slovenia",2.168418060,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","SK","Slovakia",0.017694850,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2008","UK","United Kingdom",0.000000000,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2009","AT","Austria",0.344984540,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2009","BE","Belgium",0.691444040,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2009","BG","Bulgaria",0.067282790,""
"Hantavirus infection","All cases","Age standardised rate","N/100000","2009","CZ","Czechia",0.055430660,""
