"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","AT","Austria",14.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","DE","Germany",19.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","ES","Spain",31.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","EU31_UKX","EU/EEA",490.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","FR","France",101.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","HU","Hungary",59.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","IT","Italy",36.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","LT","Lithuania",9.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","NL","Netherlands",4.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2008","NO","Norway",21.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","AT","Austria",13.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","DE","Germany",19.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","ES","Spain",7.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","EU31_UKX","EU/EEA",401.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","FR","France",87.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","HU","Hungary",47.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","IT","Italy",7.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","LT","Lithuania",18.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","NL","Netherlands",1.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","NO","Norway",16.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2009","PT","Portugal",1.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","AT","Austria",14.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","DE","Germany",29.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","ES","Spain",12.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","EU31_UKX","EU/EEA",365.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","FR","France",105.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","HU","Hungary",15.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","IT","Italy",3.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","LT","Lithuania",9.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","MT","Malta",1.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","NL","Netherlands",7.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","NO","Norway",24.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2010","PT","Portugal",2.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","AT","Austria",12.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","DE","Germany",32.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","ES","Spain",3.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","EU31_UKX","EU/EEA",309.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","FR","France",63.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","HU","Hungary",4.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","IT","Italy",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","LT","Lithuania",9.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","MT","Malta",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","NL","Netherlands",4.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","NO","Norway",28.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2011","PT","Portugal",6.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","AT","Austria",16.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","DE","Germany",26.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","EE","Estonia",2.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","EU31_UKX","EU/EEA",308.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","FR","France",55.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","HU","Hungary",13.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","IT","Italy",6.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","LT","Lithuania",2.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","MT","Malta",4.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","NL","Netherlands",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","NO","Norway",28.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","PT","Portugal",5.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2012","RO","Romania",19.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","AT","Austria",18.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","DE","Germany",36.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","EE","Estonia",1.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","EU31_UKX","EU/EEA",359.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","FR","France",47.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","HU","Hungary",15.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","IT","Italy",29.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","LT","Lithuania",6.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","NL","Netherlands",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","NO","Norway",87.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","PT","Portugal",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2013","RO","Romania",7.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","AT","Austria",9.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","DE","Germany",38.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","EE","Estonia",1.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","EU31_UKX","EU/EEA",314.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","FR","France",48.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","HU","Hungary",13.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","IT","Italy",2.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","LT","Lithuania",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","NL","Netherlands",5.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","NO","Norway",78.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","PT","Portugal",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2014","RO","Romania",3.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","AT","Austria",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","DE","Germany",20.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","EE","Estonia",3.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","EU31_UKX","EU/EEA",293.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","FR","France",49.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","HU","Hungary",17.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","IT","Italy",6.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","LT","Lithuania",7.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","MT","Malta",1.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","NL","Netherlands",17.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","NO","Norway",68.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2015","PT","Portugal",8.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2016","AT","Austria",2.000000000,""
"Healthcare-associated infections: surgical site infections","Surgical site infections|Caesarean section","All in-hospital SSI","N","2016","DE","Germany",17.000000000,""
