"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","AT","Austria",3.642779170,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","BE","Belgium",4.629321990,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","ES","Spain",5.524174480,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","EU_EEA31","EU/EEA",3.820980000,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","EU28","EU",3.820980000,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","FR","France",2.892242790,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","HR","Croatia",1.740427640,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","IT","Italy",4.624063620,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","LT","Lithuania",1.734906310,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","LU","Luxembourg",1.780943900,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","PT","Portugal",4.790357470,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2008","SK","Slovakia",6.028636020,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","AT","Austria",3.406326030,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","BE","Belgium",3.584593870,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","ES","Spain",5.246501010,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","EU_EEA31","EU/EEA",3.873305000,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","EU28","EU",3.873305000,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","FR","France",2.854224040,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","IT","Italy",2.528445000,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","LT","Lithuania",4.091025310,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","LU","Luxembourg",2.108507010,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","MT","Malta",6.731242810,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","PT","Portugal",6.621117130,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","SK","Slovakia",8.318478900,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2009","UKM","Scotland",3.745791240,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","AT","Austria",2.049525310,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","BE","Belgium",3.130960520,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","EE","Estonia",8.298755180,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","ES","Spain",4.869109940,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","EU_EEA31","EU/EEA",3.369656000,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","EU28","EU",3.369656000,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","FR","France",2.758583740,""
"Healthcare-associated infections in intensive care units","ICU-acquired infections|Bloodstream infections","Incidence density","Number of infections / 1 000 patient days","2010","IT","Italy",3.429558600,""
