"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",0.060861140,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.529455240,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",1.224434690,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",1.170233600,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","DK","Denmark",0.523538480,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.759640090,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",2.738868990,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",1.539262150,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.289920450,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","FR","France",1.543199750,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",2.560951440,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.655873610,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","IS","Iceland",0.653883700,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","IT","Italy",2.148015960,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.213274890,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.801221650,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","NL","Netherlands",0.997063950,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",0.616566850,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","PL","Poland",0.094120040,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","PT","Portugal",0.159918840,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","RO","Romania",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",0.736722430,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","SI","Slovenia",0.721268690,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","SK","Slovakia",6.842967440,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",0.608574840,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","AT","Austria",0.049388210,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","BE","Belgium",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","BG","Bulgaria",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","CY","Cyprus",0.485028680,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","CZ","Czechia",15.665005930,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","DE","Germany",1.345550140,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","DK","Denmark",0.785356390,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","EE","Estonia",0.989866160,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","EL","Greece",1.138599570,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","ES","Spain",3.959621700,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_21","EU (without UK)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","FI","Finland",0.407432350,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","FR","France",1.856043160,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","HU","Hungary",1.703662400,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","IE","Ireland",0.873362940,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","IS","Iceland",0.275038740,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","IT","Italy",2.410864060,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","LT","Lithuania",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","LU","Luxembourg",0.662777750,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","LV","Latvia",128.164244300,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","MT","Malta",1.085183500,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","NL","Netherlands",0.524053300,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","NO","Norway",1.023767060,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","PT","Portugal",0.203912280,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","RO","Romania",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","SE","Sweden",0.852222790,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","SI","Slovenia",0.824855110,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","SK","Slovakia",13.572267670,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2008","UK","United Kingdom",1.289243270,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","AT","Austria",0.012792010,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","BE","Belgium",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","BG","Bulgaria",-,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","CY","Cyprus",0.447224240,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","CZ","Czechia",10.881366430,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","DE","Germany",1.149196630,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","DK","Denmark",0.813183250,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","EE","Estonia",1.445101960,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","EL","Greece",0.796039610,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","ES","Spain",3.793165300,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","EU27_21","EU (without UK)",3.955784000,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","EU27_UK_21","EU (with UK until 2019)",3.505781000,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",3.915039000,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",3.475677000,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","FI","Finland",0.412140080,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","FR","France",2.385310850,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","HU","Hungary",1.093568500,""
"Hepatitis A","Confirmed cases","Age-standardised rate","N/100000","2009","IE","Ireland",1.037773050,""
