"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","DE","Germany",1.295519130,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","DK","Denmark",0.294797250,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","EE","Estonia",3.331605830,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","EL","Greece",0.781483130,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","EUEEA30_21","EU/EEA (without UK)",1.459359000,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",1.332401000,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","FI","Finland",0.418602700,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","IE","Ireland",2.186230730,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","LV","Latvia",7.630593110,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","NL","Netherlands",1.426454040,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","NO","Norway",3.211055340,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","RO","Romania",5.330004920,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","SE","Sweden",1.845762350,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","SI","Slovenia",1.247904760,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","SK","Slovakia",2.307866390,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2006","UK","United Kingdom",0.821652110,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","CZ","Czechia",2.964629330,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","DE","Germany",1.095791810,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","DK","Denmark",0.514036500,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","EE","Estonia",3.425371570,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","EL","Greece",0.715838550,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",1.328396000,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",1.236021000,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","FI","Finland",0.322155480,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","IE","Ireland",1.221164950,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","LV","Latvia",7.469984240,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","NL","Netherlands",1.387700880,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","NO","Norway",2.563481410,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","RO","Romania",4.041550730,""
"Hepatitis B","Acute cases","Notification rate","N/100000","2007","SE","Sweden",2.183632040,""
