"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","DK","Denmark",0.092124140,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","EE","Estonia",4.220034050,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","EUEEA30_21","EU/EEA (without UK)",0.555370000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",0.555370000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","LV","Latvia",4.623241700,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","RO","Romania",0.164651520,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","SI","Slovenia",0.299497140,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2006","SK","Slovakia",0.558354770,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","DK","Denmark",0.165226010,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","EE","Estonia",2.978583980,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.582188000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.582188000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","LV","Latvia",4.481990540,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","RO","Romania",0.260287220,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","SI","Slovenia",0.696386790,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2007","SK","Slovakia",0.707216210,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","DK","Denmark",0.109573210,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","EE","Estonia",4.557544600,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.531087000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.531087000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","LV","Latvia",5.292429540,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","RO","Romania",0.000000000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","SI","Slovenia",0.397956690,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2008","SK","Slovakia",0.483625190,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2009","AT","Austria",1.247750000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2009","DK","Denmark",0.108864250,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2009","EE","Estonia",4.941081340,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",0.464326000,""
"Hepatitis C","Acute cases","Notification rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",0.464326000,""
