"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","AT","Austria",3.773765670,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","BE","Belgium",-,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","BG","Bulgaria",-,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","CY","Cyprus",1.446620940,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","CZ","Czechia",2.895679800,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","DK","Denmark",17.260040600,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","EE","Estonia",1.020796060,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","EL","Greece",0.342063450,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","ES","Spain",5.863830290,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","EUEEA30_21","EU/EEA (without UK)",5.259939000,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",5.840084000,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","FI","Finland",15.039217760,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","FR","France",9.523096510,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","HU","Hungary",1.073802520,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","IE","Ireland",8.121400220,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","IS","Iceland",11.499393900,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","IT","Italy",1.314221680,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","LT","Lithuania",0.295116820,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","LU","Luxembourg",0.430555010,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","LV","Latvia",0.760227320,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","MT","Malta",2.658046560,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","NL","Netherlands",13.973925060,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","NO","Norway",16.176151810,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","PL","Poland",0.881424940,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","RO","Romania",0.395718260,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","SE","Sweden",14.822864880,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","SI","Slovenia",10.728258990,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","SK","Slovakia",0.343511700,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2010","UK","United Kingdom",8.979943280,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","AT","Austria",1.830360420,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","BE","Belgium",-,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","BG","Bulgaria",-,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","CY","Cyprus",2.076945100,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","CZ","Czechia",3.656246000,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","DK","Denmark",16.271614660,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","EE","Estonia",1.328076580,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","EL","Greece",0.366500160,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","ES","Spain",5.816191930,""
"Invasive pneumococcal disease","Confirmed cases","Age standardised rate","N/100000","2011","EUEEA30_21","EU/EEA (without UK)",5.189624000,""
