"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","AT","Austria",0.793694800,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","BG","Bulgaria",0.013544590,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","CZ","Czechia",0.073043950,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","DE","Germany",0.528421460,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","DK","Denmark",2.157171430,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","EE","Estonia",0.150488690,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","EL","Greece",0.169931470,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","ES","Spain",3.302440720,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","EU27_21","EU (without UK)",1.390710000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","EU27_UK_21","EU (with UK until 2019)",1.281837000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","EUEEA30_21","EU/EEA (without UK)",1.413073000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","EUEEAUK_21","EU/EEA (with UK until 2019)",1.302065000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","FI","Finland",0.186141670,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","FR","France",2.497129000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","HU","Hungary",0.123151920,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","IE","Ireland",0.225698340,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","IT","Italy",1.388706430,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","LT","Lithuania",-,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","LU","Luxembourg",2.672834060,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","LV","Latvia",0.000000000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","MT","Malta",0.000000000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","NO","Norway",3.017926490,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","SE","Sweden",1.159446290,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","SK","Slovakia",0.018819510,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2005","UK","United Kingdom",0.683814700,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","AT","Austria",0.834511210,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","BE","Belgium",2.067384890,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","BG","Bulgaria",0.013633790,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","CY","Cyprus",0.136479110,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","CZ","Czechia",0.133406530,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","DE","Germany",0.550859370,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","DK","Denmark",2.395744690,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","EE","Estonia",0.282937880,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","EL","Greece",0.299489460,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","ES","Spain",3.037116300,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","EU27_21","EU (without UK)",1.431347000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","EU27_UK_21","EU (with UK until 2019)",1.372653000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","EUEEA30_21","EU/EEA (without UK)",1.420440000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",1.363928000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","FI","Finland",0.329826280,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","FR","France",2.331396290,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","HU","Hungary",0.116787400,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","IE","Ireland",0.338194390,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","IS","Iceland",0.472211260,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","IT","Italy",1.468964460,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","LT","Lithuania",-,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","LU","Luxembourg",2.198215640,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","LV","Latvia",0.047495320,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","MT","Malta",0.521064150,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","NL","Netherlands",2.799193010,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","NO","Norway",0.611752400,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","PT","Portugal",0.851903370,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","SE","Sweden",1.125027690,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","SK","Slovakia",0.098967810,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2006","UK","United Kingdom",1.014323830,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","AT","Austria",1.273943910,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","BE","Belgium",0.716999660,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","CY","Cyprus",0.176573400,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","CZ","Czechia",0.171721700,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","DE","Germany",0.604375060,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","DK","Denmark",2.470315020,""
"Legionnaires' disease","All cases","Age standardised rate","N/100000","2007","EE","Estonia",0.218589720,""
