"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.231818900,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",0.197952790,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","DK","Denmark",0.146117490,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.152350000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",0.117965560,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.040913520,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.301882050,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.511707700,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","IT","Italy",0.072792520,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.219176870,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","NL","Netherlands",0.224369160,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","PL","Poland",0.018625620,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","PT","Portugal",0.358744620,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","RO","Romania",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",0.012012740,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","SI","Slovenia",0.334504530,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","SK","Slovakia",0.335367140,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",0.132971680,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","AT","Austria",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","BE","Belgium",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","BG","Bulgaria",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","CZ","Czechia",0.158339190,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","DE","Germany",0.079734130,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","DK","Denmark",0.144013310,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","EE","Estonia",0.150011150,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","EL","Greece",0.106649190,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","ES","Spain",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_21","EU (without UK)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","FI","Finland",0.153261460,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","HU","Hungary",0.147520530,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","IE","Ireland",0.689939400,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","IT","Italy",0.063928640,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","LT","Lithuania",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","LV","Latvia",0.135231930,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","MT","Malta",0.505164220,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","NL","Netherlands",0.227825050,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","PL","Poland",0.004617270,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","PT","Portugal",0.132734490,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","RO","Romania",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","SE","Sweden",0.064629590,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","SI","Slovenia",0.300787120,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","SK","Slovakia",0.420804770,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2008","UK","United Kingdom",0.123056400,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","AT","Austria",0.105850690,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","BE","Belgium",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","BG","Bulgaria",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","CZ","Czechia",0.301238170,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","DE","Germany",0.111169450,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","DK","Denmark",0.036681770,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","EE","Estonia",0.079227530,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","EL","Greece",0.277603310,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","ES","Spain",-,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","EU27_21","EU (without UK)",0.147814000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","EU27_UK_21","EU (with UK until 2019)",0.137658000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",0.147814000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",0.137658000,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","FI","Finland",0.231343260,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","HU","Hungary",0.088192920,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","IE","Ireland",0.565779610,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","IT","Italy",0.060409330,""
"Leptospirosis","Confirmed cases","Age-standardised rate","N/100000","2009","LT","Lithuania",-,""
