"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",0.239505820,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",1.051400060,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",-,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.494074420,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",0.392637480,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","DK","Denmark",1.072551920,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.218589720,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",0.082040580,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",-,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",0.328633000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",0.343222000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.339552000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.352473000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.739316960,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","FR","France",0.496825080,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.087829190,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.556861230,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","IS","Iceland",1.741073160,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","IT","Italy",0.135539480,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","LI","Liechtenstein",0.000000000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",-,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",1.485505740,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",0.245357860,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","NL","Netherlands",0.435936650,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",1.130786440,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","PL","Poland",0.120953710,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","RO","Romania",0.000000000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",0.601992900,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","SI","Slovenia",0.195389040,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","SK","Slovakia",0.179741830,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",0.433425510,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","AT","Austria",0.366800410,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","BE","Belgium",1.173827690,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","BG","Bulgaria",-,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","CZ","Czechia",0.358116710,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","DE","Germany",0.336351120,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","DK","Denmark",0.950011750,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EE","Estonia",0.580068720,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EL","Greece",0.008015050,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","ES","Spain",-,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_21","EU (without UK)",0.303548000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.308688000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.308906000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.313245000,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","FI","Finland",0.742201310,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","FR","France",0.432826050,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","HU","Hungary",0.183560740,""
"Listeriosis","Confirmed cases","Age-standardised rate","N/100000","2008","IE","Ireland",0.336751140,""
