"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","DK","Denmark",1.077133850,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","EU27_21","EU (without UK)",0.329760000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","EU27_UK_21","EU (with UK until 2019)",0.261912000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","EUEEA30_21","EU/EEA (without UK)",0.789658000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","EUEEAUK_21","EU/EEA (with UK until 2019)",0.473990000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","HU","Hungary",0.189564390,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","IE","Ireland",0.275396900,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","LU","Luxembourg",0.153242180,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","LV","Latvia",0.201354890,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","NO","Norway",5.129285870,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","RO","Romania",0.023517510,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","SI","Slovenia",0.082468860,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","SK","Slovakia",1.094124280,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2018","UK","United Kingdom",0.210755070,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","CZ","Czechia",5.250250620,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","DK","Denmark",0.827135850,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","EE","Estonia",1.533529250,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","EU27_21","EU (without UK)",0.713777000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","EU27_UK_21","EU (with UK until 2019)",0.546835000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","EUEEA30_21","EU/EEA (without UK)",0.875791000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","EUEEAUK_21","EU/EEA (with UK until 2019)",0.666596000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","HU","Hungary",0.142145630,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","IE","Ireland",0.121426560,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","IT","Italy",0.247255600,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","LT","Lithuania",0.111940460,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","LU","Luxembourg",0.000000000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","LV","Latvia",0.102890270,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","NO","Norway",5.817533310,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","PL","Poland",0.775899720,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","RO","Romania",0.010022380,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","SI","Slovenia",0.592192870,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","SK","Slovakia",0.932177380,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2019","UK","United Kingdom",0.139741910,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","CZ","Czechia",3.575487150,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","DK","Denmark",0.793523430,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","EE","Estonia",1.490916860,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","EU27_21","EU (without UK)",0.451664000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","EU27_UK_21","EU (with UK until 2019)",0.451664000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","EUEEA30_21","EU/EEA (without UK)",0.619400000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","EUEEAUK_21","EU/EEA (with UK until 2019)",0.619400000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","HU","Hungary",0.213246290,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","IE","Ireland",0.300955840,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","IT","Italy",0.129897030,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","LT","Lithuania",0.070965880,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","LU","Luxembourg",0.333794420,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","LV","Latvia",0.000000000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","NO","Norway",5.694052930,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","PL","Poland",0.288910040,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","RO","Romania",0.005179140,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","SI","Slovenia",1.095551110,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2020","SK","Slovakia",0.625347670,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","CZ","Czechia",3.225067370,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","DK","Denmark",1.234084280,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","EE","Estonia",0.823670570,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","EU27_21","EU (without UK)",0.415667000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","EU27_UK_21","EU (with UK until 2019)",0.415667000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","EUEEA30_21","EU/EEA (without UK)",0.578860000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","EUEEAUK_21","EU/EEA (with UK until 2019)",0.578860000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","HU","Hungary",0.179430620,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","IE","Ireland",0.077422980,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","IT","Italy",0.052694670,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","LT","Lithuania",0.000000000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","LU","Luxembourg",0.000000000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","LV","Latvia",0.000000000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","NO","Norway",5.781265430,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","PL","Poland",0.536089460,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","PT","Portugal",0.096887890,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","RO","Romania",0.005499570,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","SI","Slovenia",0.143342540,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2021","SK","Slovakia",0.429580330,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2022","CZ","Czechia",4.644691510,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2022","DK","Denmark",1.084431180,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2022","EE","Estonia",1.227226720,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2022","EL","Greece",0.000000000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2022","EU27_21","EU (without UK)",0.569669000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2022","EU27_UK_21","EU (with UK until 2019)",0.569669000,""
"Lyme Neuroborreliosis","All cases","Age standardised rate","N/100000","2022","EUEEA30_21","EU/EEA (without UK)",0.738041000,""
