"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","AT","Austria",0.691570900,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","BE","Belgium",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","BG","Bulgaria",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","CZ","Czechia",0.203080130,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","DE","Germany",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EE","Estonia",0.000000000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EL","Greece",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","ES","Spain",0.601186260,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EU27_21","EU (without UK)",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","FI","Finland",0.854751400,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","FR","France",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","HU","Hungary",0.049021390,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","IE","Ireland",1.658179000,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","IT","Italy",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","LT","Lithuania",-,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","LU","Luxembourg",0.430210340,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","LV","Latvia",0.086278740,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","MT","Malta",0.701783990,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","NL","Netherlands",1.399961370,""
"Malaria","Confirmed cases","Age standardised rate","N/100000","2008","NO","Norway",0.689388830,""
