"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Mumps","All cases","Age standardised rate","N/100000","2000","BG","Bulgaria",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","CY","Cyprus",0.000000000,""
"Mumps","All cases","Age standardised rate","N/100000","2000","CZ","Czechia",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","DK","Denmark",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","EE","Estonia",4.079942260,""
"Mumps","All cases","Age standardised rate","N/100000","2000","EL","Greece",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","ES","Spain",13.990034590,""
"Mumps","All cases","Age standardised rate","N/100000","2000","EUEEA30_21","EU/EEA (without UK)",30.871528000,""
"Mumps","All cases","Age standardised rate","N/100000","2000","EUEEAUK_21","EU/EEA (with UK until 2019)",25.302430000,""
"Mumps","All cases","Age standardised rate","N/100000","2000","FI","Finland",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","HR","Croatia",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","HU","Hungary",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","IE","Ireland",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","IS","Iceland",0.000000000,""
"Mumps","All cases","Age standardised rate","N/100000","2000","IT","Italy",46.693700190,""
"Mumps","All cases","Age standardised rate","N/100000","2000","LT","Lithuania",97.499012410,""
"Mumps","All cases","Age standardised rate","N/100000","2000","LU","Luxembourg",0.000000000,""
"Mumps","All cases","Age standardised rate","N/100000","2000","LV","Latvia",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","MT","Malta",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","NO","Norway",-,""
"Mumps","All cases","Age standardised rate","N/100000","2000","PL","Poland",35.974669280,""
"Mumps","All cases","Age standardised rate","N/100000","2000","PT","Portugal",57.773112460,""
"Mumps","All cases","Age standardised rate","N/100000","2000","RO","Romania",99.932171630,""
