"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Age standardised rate","N/100000","1998","AT","Austria",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","DK","Denmark",5.768887930,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","EL","Greece",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","ES","Spain",0.278575400,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","EUEEA30_21","EU/EEA (without UK)",8.134162000,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","EUEEAUK_21","EU/EEA (with UK until 2019)",6.177739000,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","FR","France",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","IE","Ireland",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","IS","Iceland",0.715902300,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","IT","Italy",13.595358550,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","LT","Lithuania",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","MT","Malta",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","NL","Netherlands",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","NO","Norway",47.887448630,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","PT","Portugal",0.085512950,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","SE","Sweden",16.032536830,""
"Pertussis","All cases","Age standardised rate","N/100000","1998","UK","United Kingdom",0.550074920,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","AT","Austria",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","DK","Denmark",15.841850650,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","EL","Greece",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","ES","Spain",0.569491510,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","EUEEA30_21","EU/EEA (without UK)",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","FR","France",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","IE","Ireland",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","IS","Iceland",5.366121700,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","IT","Italy",7.429266760,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","LT","Lithuania",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","MT","Malta",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","NL","Netherlands",-,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","NO","Norway",25.554166140,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","PT","Portugal",0.114771760,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","SE","Sweden",22.602080180,""
"Pertussis","All cases","Age standardised rate","N/100000","1999","UK","United Kingdom",0.494140660,""
"Pertussis","All cases","Age standardised rate","N/100000","2000","AT","Austria",-,""
"Pertussis","All cases","Age standardised rate","N/100000","2000","DK","Denmark",15.513209770,""
"Pertussis","All cases","Age standardised rate","N/100000","2000","EL","Greece",-,""
"Pertussis","All cases","Age standardised rate","N/100000","2000","ES","Spain",1.547287540,""
"Pertussis","All cases","Age standardised rate","N/100000","2000","EUEEA30_21","EU/EEA (without UK)",7.725025000,""
"Pertussis","All cases","Age standardised rate","N/100000","2000","EUEEAUK_21","EU/EEA (with UK until 2019)",5.809827000,""
"Pertussis","All cases","Age standardised rate","N/100000","2000","FR","France",-,""
