"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","AT","Austria",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","BE","Belgium",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","BG","Bulgaria",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","CY","Cyprus",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","CZ","Czechia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","DE","Germany",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","DK","Denmark",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","EE","Estonia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","EL","Greece",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","ES","Spain",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","EU27_21","EU (without UK)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","FI","Finland",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","FR","France",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","HR","Croatia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","HU","Hungary",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","IE","Ireland",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","IS","Iceland",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","IT","Italy",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","LT","Lithuania",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","LU","Luxembourg",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","LV","Latvia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","MT","Malta",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","NL","Netherlands",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","NO","Norway",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","PL","Poland",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","PT","Portugal",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","RO","Romania",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","SE","Sweden",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","SI","Slovenia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","SK","Slovakia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2012","UK","United Kingdom",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","AT","Austria",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","BE","Belgium",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","BG","Bulgaria",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","CY","Cyprus",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","CZ","Czechia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","DE","Germany",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","DK","Denmark",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","EE","Estonia",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","EL","Greece",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","ES","Spain",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","EU27_21","EU (without UK)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","FI","Finland",0.000000000,""
"Plague","Confirmed cases","Age standardised rate","N/100000","2013","FR","France",0.000000000,""
