"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W40","DE","Germany",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W40","DK","Denmark",1.960784310,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W40","EU31_UKX","EU/EEA",2.430555000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W40","FR","France",1.969561320,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W40","IE","Ireland",6.451612900,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W40","NL","Netherlands",14.285714280,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W40","SI","Slovenia",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W41","DE","Germany",-,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W41","DK","Denmark",1.731601730,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W41","EU31_UKX","EU/EEA",2.885624000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W41","FR","France",1.872964160,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W41","IE","Ireland",10.232558130,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W41","NL","Netherlands",29.411764700,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W41","SI","Slovenia",0.465116270,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W42","DE","Germany",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W42","DK","Denmark",2.834008090,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W42","EU31_UKX","EU/EEA",5.206378000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W42","FR","France",5.397301340,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W42","IE","Ireland",8.802816900,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W42","NL","Netherlands",38.888888880,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W42","SI","Slovenia",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W43","DE","Germany",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W43","DK","Denmark",3.422053230,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W43","EU31_UKX","EU/EEA",6.510520000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W43","FR","France",5.617320070,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W43","IE","Ireland",17.391304340,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W43","NL","Netherlands",43.750000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W43","SI","Slovenia",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W44","DE","Germany",-,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W44","DK","Denmark",5.090909090,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W44","EU31_UKX","EU/EEA",8.872608000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W44","FR","France",7.203389830,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W44","IE","Ireland",22.408026750,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W44","NL","Netherlands",56.250000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W44","SI","Slovenia",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","CZ","Czechia",-,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","DE","Germany",0.000000000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","DK","Denmark",5.846153840,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","EL","Greece",-,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","EU31_UKX","EU/EEA",10.597014000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","FR","France",8.708357680,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","IE","Ireland",24.062500000,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","LV","Latvia",-,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","NL","Netherlands",66.666666660,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","PL","Poland",-,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W45","SI","Slovenia",0.377358490,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W46","CZ","Czechia",-,""
"Respiratory Syncytial Virus ","RSV Non sentinel","% RSV detections","%","2016-W46","DE","Germany",-,""
