"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","BE","Belgium",52.941176470,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","CY","Cyprus",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","EE","Estonia",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","FR","France",41.666666660,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","IE","Ireland",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","LT","Lithuania",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","NO","Norway",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2017","UK","United Kingdom",36.363636360,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2018","AT","Austria",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2018","BE","Belgium",50.000000000,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2018","CY","Cyprus",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2018","FR","France",61.904761900,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2018","IE","Ireland",-,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2018","UK","United Kingdom",46.153846150,""
"Shigellosis","Antimicrobial resistance|Sh. boydii|All|Ampicillin","Clinically resistant (R) isolates percentage","%","2019","BE","Belgium",38.461538460,""
