"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","BG","Bulgaria",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","CZ","Czechia",2.047837480,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","DE","Germany",0.708594680,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","DK","Denmark",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","EE","Estonia",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","ES","Spain",1.103333830,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","EUEEA30_21","EU/EEA (without UK)",6.507646000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","EUEEAUK_21","EU/EEA (with UK until 2019)",5.363905000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","HU","Hungary",4.204463030,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","IE","Ireland",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","IT","Italy",1.066478960,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","LT","Lithuania",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","LV","Latvia",4.865943260,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","NO","Norway",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","PT","Portugal",11.894087720,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","RO","Romania",62.886974530,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","SE","Sweden",0.990805320,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2004","UK","United Kingdom",1.117324670,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","BG","Bulgaria",30.953218430,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","CZ","Czechia",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","DE","Germany",0.583264670,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","DK","Denmark",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","EE","Estonia",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","ES","Spain",2.151412070,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","EUEEA30_21","EU/EEA (without UK)",4.293261000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","EUEEAUK_21","EU/EEA (with UK until 2019)",3.789366000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","HU","Hungary",4.102732410,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","IE","Ireland",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","IT","Italy",1.443985970,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","LT","Lithuania",10.166045400,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","LV","Latvia",13.711778410,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","NO","Norway",0.000000000,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","PT","Portugal",19.195787890,""
"Syphilis, congenital","Confirmed cases","Notification rate  per 100 000 live births","N/100000","2005","RO","Romania",17.193014200,""
