"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1990","CZ","Czechia",0.366737950,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1990","EUEEA30_21","EU/EEA (without UK)",1.317118000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1990","EUEEAUK_21","EU/EEA (with UK until 2019)",0.754163000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1990","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1990","LV","Latvia",4.685715380,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1990","PT","Portugal",1.403159020,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1990","UK","United Kingdom",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","CZ","Czechia",1.202117330,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","EUEEA30_21","EU/EEA (without UK)",1.880192000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","EUEEAUK_21","EU/EEA (with UK until 2019)",0.996719000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","LV","Latvia",7.986575210,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","PT","Portugal",1.440398990,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","SE","Sweden",1.314514490,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1991","UK","United Kingdom",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","CZ","Czechia",1.547588470,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","EUEEA30_21","EU/EEA (without UK)",10.236496000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","EUEEAUK_21","EU/EEA (with UK until 2019)",5.415118000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","LV","Latvia",10.213129940,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","NO","Norway",0.043075370,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","PT","Portugal",1.339958410,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","RO","Romania",23.491235400,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","SE","Sweden",0.913308400,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1992","UK","United Kingdom",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","CZ","Czechia",1.005426150,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","EUEEA30_21","EU/EEA (without UK)",11.022560000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","EUEEAUK_21","EU/EEA (with UK until 2019)",5.805332000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","LV","Latvia",31.710443340,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","NO","Norway",0.161381880,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","PT","Portugal",1.364193180,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","RO","Romania",23.252920950,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","SE","Sweden",1.150822090,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1993","UK","United Kingdom",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","CZ","Czechia",2.189451650,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","EUEEA30_21","EU/EEA (without UK)",13.517256000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","EUEEAUK_21","EU/EEA (with UK until 2019)",7.046493000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","LV","Latvia",59.530840180,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","NO","Norway",0.389198280,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","PT","Portugal",1.616026460,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","RO","Romania",26.127765450,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","SE","Sweden",0.797611480,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1994","UK","United Kingdom",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","CZ","Czechia",2.665006490,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","EUEEA30_21","EU/EEA (without UK)",17.064686000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","EUEEAUK_21","EU/EEA (with UK until 2019)",8.700366000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","LV","Latvia",93.803161460,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","NO","Norway",0.133341430,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","PT","Portugal",1.725281230,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","RO","Romania",31.473980500,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","SE","Sweden",0.820520370,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1995","UK","United Kingdom",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","CZ","Czechia",3.445289740,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","EUEEA30_21","EU/EEA (without UK)",17.455184000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","EUEEAUK_21","EU/EEA (with UK until 2019)",8.880754000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","LV","Latvia",125.845961200,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","NO","Norway",0.169912210,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","PT","Portugal",1.816073020,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","RO","Romania",28.855337970,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","SE","Sweden",0.623873610,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1996","UK","United Kingdom",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1997","CZ","Czechia",0.841408090,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1997","EUEEA30_21","EU/EEA (without UK)",17.468953000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1997","EUEEAUK_21","EU/EEA (with UK until 2019)",8.897291000,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1997","HU","Hungary",-,""
"Syphilis","Confirmed cases","Age standardised rate","N/100000","1997","LV","Latvia",122.871300890,""
