"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Tetanus","All cases","Age standardised rate","N/100000","2006","BE","Belgium",0.009146290,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","BG","Bulgaria",0.052438130,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","CY","Cyprus",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","CZ","Czechia",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","DK","Denmark",0.037455770,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","EE","Estonia",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","EL","Greece",-,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","ES","Spain",0.029171280,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","EUEEA30_21","EU/EEA (without UK)",0.048921000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",0.042005000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","FR","France",0.025701910,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","HU","Hungary",0.071676150,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","IE","Ireland",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","IS","Iceland",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","IT","Italy",0.096070860,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","LT","Lithuania",0.093256720,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","LU","Luxembourg",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","LV","Latvia",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","MT","Malta",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","NO","Norway",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","PL","Poland",0.062635290,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","PT","Portugal",0.064122190,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","RO","Romania",0.050409860,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","SE","Sweden",0.010569850,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","SI","Slovenia",0.211533210,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","SK","Slovakia",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2006","UK","United Kingdom",0.005021220,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","BE","Belgium",-,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","CZ","Czechia",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","DK","Denmark",0.056850000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","EE","Estonia",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","EL","Greece",0.086166290,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","ES","Spain",0.018237380,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.039125000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.034476000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","FR","France",0.011147730,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","HU","Hungary",0.040218290,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","IE","Ireland",0.035289590,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","IS","Iceland",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","IT","Italy",0.087865360,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","LT","Lithuania",-,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","LV","Latvia",0.045023400,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","NL","Netherlands",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","NO","Norway",0.048266860,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","PL","Poland",0.058697180,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","PT","Portugal",0.082113590,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","RO","Romania",0.059199820,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","SE","Sweden",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","SI","Slovenia",0.051765350,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","SK","Slovakia",0.025738050,""
"Tetanus","All cases","Age standardised rate","N/100000","2007","UK","United Kingdom",0.008437630,""
"Tetanus","All cases","Age standardised rate","N/100000","2008","AT","Austria",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2008","BE","Belgium",-,""
"Tetanus","All cases","Age standardised rate","N/100000","2008","BG","Bulgaria",0.029223070,""
"Tetanus","All cases","Age standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Tetanus","All cases","Age standardised rate","N/100000","2008","CZ","Czechia",0.000000000,""
