"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","AT","Austria",0.559437880,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","BE","Belgium",0.009927310,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","CZ","Czechia",5.385639090,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","DE","Germany",0.234593900,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","EE","Estonia",13.503742810,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","EL","Greece",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","ES","Spain",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","EU27_21","EU (without UK)",0.636567000,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",0.536971000,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",0.628253000,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",0.531140000,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","FI","Finland",0.709567700,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","FR","France",0.001478880,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","HR","Croatia",-,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","HU","Hungary",0.419587320,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","IE","Ireland",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","LT","Lithuania",11.488885690,""
"Tick-borne encephalitis","Confirmed cases","Age standardised rate","N/100000","2012","LV","Latvia",3.490065620,""
