"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","BG","Bulgaria",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","CY","Cyprus",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","CZ","Czechia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","EE","Estonia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","ES","Spain",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","EU27_21","EU (without UK)",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","FI","Finland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","HU","Hungary",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","IE","Ireland",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","IS","Iceland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","LT","Lithuania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","LU","Luxembourg",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","LV","Latvia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","MT","Malta",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","PL","Poland",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","RO","Romania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","SI","Slovenia",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","SK","Slovakia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2007","UK","United Kingdom",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","BG","Bulgaria",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","CY","Cyprus",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","CZ","Czechia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","EE","Estonia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","ES","Spain",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","EU27_21","EU (without UK)",40.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","EU27_UK_21","EU (with UK until 2019)",40.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","EUEEA30_21","EU/EEA (without UK)",40.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",40.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","FI","Finland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","HU","Hungary",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","IE","Ireland",100.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","IS","Iceland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","LT","Lithuania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","LU","Luxembourg",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","LV","Latvia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","MT","Malta",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","PL","Poland",37.500000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","RO","Romania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","SI","Slovenia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","SK","Slovakia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2008","UK","United Kingdom",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","BG","Bulgaria",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","CY","Cyprus",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","CZ","Czechia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","EE","Estonia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","ES","Spain",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","EU27_21","EU (without UK)",9.652509000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","EU27_UK_21","EU (with UK until 2019)",9.652509000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","EUEEA30_21","EU/EEA (without UK)",9.652509000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",9.652509000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","FI","Finland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","FR","France",9.960159360,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","HU","Hungary",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","IE","Ireland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","LT","Lithuania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","LU","Luxembourg",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","LV","Latvia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","MT","Malta",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","PL","Poland",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","RO","Romania",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","SI","Slovenia",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","SK","Slovakia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2009","UK","United Kingdom",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","BG","Bulgaria",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","CY","Cyprus",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","CZ","Czechia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","DE","Germany",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","EE","Estonia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","ES","Spain",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","EU27_21","EU (without UK)",5.485232000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","EU27_UK_21","EU (with UK until 2019)",5.485232000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","EUEEA30_21","EU/EEA (without UK)",5.485232000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",5.485232000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","FI","Finland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","FR","France",5.479452050,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","HU","Hungary",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","IE","Ireland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","LT","Lithuania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","LU","Luxembourg",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","LV","Latvia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","MT","Malta",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","PL","Poland",20.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","RO","Romania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","SI","Slovenia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","SK","Slovakia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2010","UK","United Kingdom",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","BG","Bulgaria",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","CY","Cyprus",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","CZ","Czechia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","DE","Germany",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","EE","Estonia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","ES","Spain",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","EU27_21","EU (without UK)",2.985074000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","EU27_UK_21","EU (with UK until 2019)",2.985074000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","EUEEA30_21","EU/EEA (without UK)",2.985074000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",2.985074000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","FI","Finland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","FR","France",2.688172040,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","HU","Hungary",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","IE","Ireland",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","LT","Lithuania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","LU","Luxembourg",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","LV","Latvia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","MT","Malta",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","PL","Poland",33.333333330,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","RO","Romania",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","SI","Slovenia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","SK","Slovakia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2011","UK","United Kingdom",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","BG","Bulgaria",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","CY","Cyprus",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","CZ","Czechia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","DE","Germany",0.000000000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","EE","Estonia",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","ES","Spain",-,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","EU27_21","EU (without UK)",2.290076000,""
"Toxoplasmosis, congenital","Confirmed cases - Age  below 1","Case fatality","%","2012","EU27_UK_21","EU (with UK until 2019)",2.290076000,""
