"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",0.012257550,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EL","Greece",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",0.078706770,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","FR","France",0.001567370,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.019950150,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.042154550,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","IT","Italy",0.001679500,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",0.181637590,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","NL","Netherlands",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","PL","Poland",0.567947340,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","PT","Portugal",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","RO","Romania",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","SE","Sweden",0.010962950,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","SI","Slovenia",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","SK","Slovakia",0.151016670,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","AT","Austria",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","BE","Belgium",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","BG","Bulgaria",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","CZ","Czechia",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","DE","Germany",0.001278830,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","EE","Estonia",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","EL","Greece",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","ES","Spain",0.061331000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_21","EU (without UK)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",-,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","FI","Finland",0.000000000,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","FR","France",0.004645040,""
"Trichinellosis","Confirmed cases","Age-standardised rate","N/100000","2008","HU","Hungary",0.048581320,""
