"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","AT","Austria",19.048554910,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","BE","Belgium",13.791099920,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","CZ","Czechia",20.121953100,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","DE","Germany",15.033092670,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","DK","Denmark",8.569667170,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","EE","Estonia",44.259408520,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","EUEEA30_21","EU/EEA (without UK)",25.454962000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","EUEEAUK_21","EU/EEA (with UK until 2019)",23.360545000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","FI","Finland",12.548892610,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","FR","France",15.388879600,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","IS","Iceland",6.408458470,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","IT","Italy",9.081324240,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","LI","Liechtenstein",2.941605470,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","LT","Lithuania",67.547533670,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","LU","Luxembourg",7.799672840,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","LV","Latvia",64.696678690,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","MT","Malta",3.064334180,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","NL","Netherlands",10.596009220,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","NO","Norway",5.545451720,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","PL","Poland",48.330169980,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","PT","Portugal",56.540030810,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","RO","Romania",105.537075270,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","SE","Sweden",6.431700900,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","SI","Slovenia",28.488218660,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","SK","Slovakia",-,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1995","UK","United Kingdom",10.625367100,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","AT","Austria",19.074518950,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","BE","Belgium",13.540199800,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","CZ","Czechia",20.983675490,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","DE","Germany",14.487114220,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","DK","Denmark",9.260752730,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","EE","Estonia",50.333698460,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","EUEEA30_21","EU/EEA (without UK)",25.791665000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","EUEEAUK_21","EU/EEA (with UK until 2019)",23.720282000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","FI","Finland",12.815269810,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","FR","France",13.457355770,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","HU","Hungary",43.286591170,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","IS","Iceland",4.790356080,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","IT","Italy",8.886604070,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","LI","Liechtenstein",0.000000000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","LT","Lithuania",77.310776440,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","LU","Luxembourg",8.360359500,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","LV","Latvia",74.114812530,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","MT","Malta",8.615399480,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","NL","Netherlands",10.964789620,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","NO","Norway",5.064850770,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","PL","Poland",46.079468430,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","PT","Portugal",53.045460130,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","RO","Romania",108.941816510,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","SE","Sweden",5.622267880,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","SI","Slovenia",30.464032300,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","SK","Slovakia",34.709880020,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1996","UK","United Kingdom",10.768190240,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","AT","Austria",17.879189400,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","BE","Belgium",12.556751040,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","CZ","Czechia",19.613719120,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","DE","Germany",13.636420690,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","DK","Denmark",10.486695690,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","EE","Estonia",55.291208940,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","EUEEA30_21","EU/EEA (without UK)",24.576308000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","EUEEAUK_21","EU/EEA (with UK until 2019)",22.695830000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","FI","Finland",11.217447720,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","FR","France",11.901033230,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","HU","Hungary",43.511653890,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","IS","Iceland",4.862607000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","IT","Italy",8.461135890,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","LI","Liechtenstein",0.000000000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","LT","Lithuania",87.509053770,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","LU","Luxembourg",8.858631850,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","LV","Latvia",84.710192180,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","MT","Malta",3.557913100,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","NL","Netherlands",9.624169290,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","NO","Norway",4.707413380,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","PL","Poland",41.547966240,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","PT","Portugal",51.374599790,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","RO","Romania",108.013043510,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","SE","Sweden",5.209367220,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","SI","Slovenia",26.003677660,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","SK","Slovakia",29.849755550,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1997","UK","United Kingdom",10.949754700,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","AT","Austria",16.866553200,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","BE","Belgium",11.895543140,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","CZ","Czechia",19.102615010,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","DE","Germany",12.727424470,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","DK","Denmark",10.028295950,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","EE","Estonia",61.283533800,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","EL","Greece",-,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","ES","Spain",-,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","EUEEA30_21","EU/EEA (without UK)",23.179874000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","EUEEAUK_21","EU/EEA (with UK until 2019)",21.566715000,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","FI","Finland",11.964190280,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","FR","France",11.439582610,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","HU","Hungary",40.733466880,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","IE","Ireland",12.599391230,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","IS","Iceland",6.823029740,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","IT","Italy",8.181270570,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","LI","Liechtenstein",11.581539320,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","LT","Lithuania",89.897441710,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","LU","Luxembourg",10.536545690,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","LV","Latvia",92.411567070,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","MT","Malta",4.924440810,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","NL","Netherlands",8.644982870,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","NO","Norway",5.659666260,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","PL","Poland",39.212983470,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","PT","Portugal",52.554190440,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","RO","Romania",116.587661570,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","SE","Sweden",5.084116780,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","SI","Slovenia",23.892587730,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","SK","Slovakia",28.785679830,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1998","UK","United Kingdom",9.999817840,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1999","AT","Austria",15.854265340,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1999","BE","Belgium",12.562428700,""
"Tuberculosis","All cases","Age standardised rate","N/100000","1999","CZ","Czechia",17.192396750,""
