"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","AT","Austria",-,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","BE","Belgium",0.000000000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","BG","Bulgaria",-,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","CZ","Czechia",1.007687510,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","DE","Germany",0.018326640,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","EE","Estonia",0.073405820,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","EL","Greece",0.000000000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","ES","Spain",0.127522010,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","EU27_21","EU (without UK)",0.213535000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.185172000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.227213000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.197359000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","FI","Finland",2.144932070,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","FR","France",0.145899400,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","HU","Hungary",0.242968570,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","IE","Ireland",0.000000000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","IS","Iceland",0.000000000,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","IT","Italy",0.071683290,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","LT","Lithuania",-,""
"Tularaemia","Confirmed cases","Age standardised rate","N/100000","2008","LU","Luxembourg",0.000000000,""
