"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","AT","Austria",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","BG","Bulgaria",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","EL","Greece",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","EU27_21","EU (without UK)",0.006927000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.005855000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.006831000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.005786000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","FR","France",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","HU","Hungary",0.186440210,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","IE","Ireland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","IT","Italy",0.004445990,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","NL","Netherlands",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","RO","Romania",0.009456780,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","SE","Sweden",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2008","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","AT","Austria",0.024210190,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","EL","Greece",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","EU27_21","EU (without UK)",0.008291000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","EU27_UK_21","EU (with UK until 2019)",0.006979000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",0.008172000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",0.006895000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","FR","France",0.001558700,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","HU","Hungary",0.071356390,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","IE","Ireland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","IT","Italy",0.025827020,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","NL","Netherlands",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","RO","Romania",0.009589780,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","SE","Sweden",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2009","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","AT","Austria",0.011229790,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","EL","Greece",2.150409790,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","ES","Spain",0.004298410,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","EU27_21","EU (without UK)",0.100258000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","EU27_UK_21","EU (with UK until 2019)",0.084333000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","EUEEA30_21","EU/EEA (without UK)",0.098808000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",0.083305000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","FR","France",0.005031790,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","HU","Hungary",0.186769610,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","IE","Ireland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","IT","Italy",0.016643450,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","NL","Netherlands",0.006540820,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","RO","Romania",0.280582720,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","SE","Sweden",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2010","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","AL","Albania",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","AT","Austria",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","EL","Greece",0.831273840,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","EU27_21","EU (without UK)",0.041526000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","EU27_UK_21","EU (with UK until 2019)",0.034899000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","EUEEA30_21","EU/EEA (without UK)",0.040927000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",0.034475000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","FR","France",0.001521230,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","HU","Hungary",0.039152000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","IE","Ireland",0.021649900,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","IT","Italy",0.046234610,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","MK","North Macedonia",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","NL","Netherlands",0.005371910,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","RO","Romania",0.055159810,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","SE","Sweden",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2011","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","AL","Albania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","AT","Austria",0.034388610,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","BE","Belgium",0.017038650,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","BG","Bulgaria",0.067619130,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","EL","Greece",1.336837000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","EU27_21","EU (without UK)",0.076225000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",0.064351000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",0.075164000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",0.063593000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","FR","France",0.004421340,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","HR","Croatia",0.127974160,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","HU","Hungary",0.166206260,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","IE","Ireland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","IT","Italy",0.106971310,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","ME","Montenegro",0.148029390,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","MK","North Macedonia",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","NL","Netherlands",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","RO","Romania",0.074469790,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","RS","Serbia",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","SE","Sweden",0.010412830,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2012","XK","Kosovo*",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","AL","Albania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","AT","Austria",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","BA","Bosnia and Herzegovina",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","BG","Bulgaria",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","CZ","Czechia",0.009129670,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","EL","Greece",0.698443850,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","EU27_21","EU (without UK)",0.085664000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","EU27_UK_21","EU (with UK until 2019)",0.072265000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","EUEEA30_21","EU/EEA (without UK)",0.084474000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",0.071415000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","FR","France",0.001435710,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","HR","Croatia",0.441424150,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","HU","Hungary",0.358570160,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","IE","Ireland",0.029332690,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","IT","Italy",0.226192400,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","ME","Montenegro",0.655292030,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","MK","North Macedonia",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","NL","Netherlands",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","RO","Romania",0.119634250,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","RS","Serbia",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","SE","Sweden",0.009049910,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","SI","Slovenia",0.046985780,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2013","XK","Kosovo*",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","AL","Albania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","AT","Austria",0.023331370,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","BA","Bosnia and Herzegovina",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","BG","Bulgaria",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","EL","Greece",0.115723520,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","EU27_21","EU (without UK)",0.019946000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","EU27_UK_21","EU (with UK until 2019)",0.017279000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","EUEEA30_21","EU/EEA (without UK)",0.019656000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","EUEEAUK_21","EU/EEA (with UK until 2019)",0.017067000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","FR","France",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","HR","Croatia",0.020860990,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","HU","Hungary",0.098199940,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","IE","Ireland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","IT","Italy",0.032608360,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","ME","Montenegro",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","MK","North Macedonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","NL","Netherlands",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","RO","Romania",0.120278870,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","RS","Serbia",0.991338220,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","SE","Sweden",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","UK","United Kingdom",0.002936430,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2014","XK","Kosovo*",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","AL","Albania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","AT","Austria",0.074438940,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","BG","Bulgaria",0.028236750,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","EL","Greece",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","EU27_21","EU (without UK)",0.032824000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","EU27_UK_21","EU (with UK until 2019)",0.027776000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","EUEEA30_21","EU/EEA (without UK)",0.032361000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","EUEEAUK_21","EU/EEA (with UK until 2019)",0.027443000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","FR","France",0.001456530,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","HR","Croatia",0.020808490,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","HU","Hungary",0.214145020,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","IE","Ireland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","IT","Italy",0.087135630,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","ME","Montenegro",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","MK","North Macedonia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","NL","Netherlands",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","PT","Portugal",0.007859610,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","RO","Romania",0.160816610,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","RS","Serbia",0.352918470,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","SE","Sweden",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2015","XK","Kosovo*",-,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2016","AL","Albania",0.000000000,""
"West Nile virus infection","All cases","Age standardised rate","N/100000","2016","AT","Austria",0.055738950,""
