"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","AT","Austria",1.748139560,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","BE","Belgium",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","BG","Bulgaria",0.124703650,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","CY","Cyprus",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","CZ","Czechia",5.956730380,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","DE","Germany",6.774547000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","DK","Denmark",4.836194380,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","EE","Estonia",5.792328630,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","ES","Spain",-,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_21","EU (without UK)",4.020473000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",3.160155000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",3.967502000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",3.132801000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","FI","Finland",9.191420970,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","HU","Hungary",0.564732560,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","IE","Ireland",0.143002600,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","LT","Lithuania",18.424907320,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","LU","Luxembourg",4.441431780,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","LV","Latvia",1.949814750,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","MT","Malta",0.000000000,""
"Yersiniosis","Confirmed cases","Age-standardised rate","N/100000","2007","NO","Norway",1.503511750,""
